ID	Form	Last_form	Rarity	Name (E)	Name (J)	Group	Level	PV	KB	Movement Speed	AP	DPS	Target	Attack Frequency	Range	Cost	Respawn	Ability	Strength_White	Strength_Red	Strength_Floating	Strength_Black	Strength_Metal	Strength_Angel	Strength_Alien	Strength_Zombies	Strength_Relic	Resist_White	Resist_Red	Resist_Floating	Resist_Black	Resist_Metal	Resist_Angel	Resist_Alien	Resist_Zombies	Resist_Relic	Shockwave	Critic	Owned	DPS_White	DPS_Red	DPS_Floating	DPS_Black	DPS_Metal	DPS_Angel	DPS_Alien	DPS_Zombies	DPS_Relic	Min_Range	Max_Range
001	1	0	基本	Cat	ネコ		Lv 20 + 80	4,200	3	10	335	272	単体	37	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	272	272	272	272	272	272	272	272	272	0	140	no_update
001	2	0	基本	Macho Cat	ネコビルダー		Lv 20 + 80	4,200	3	10	335	272	単体	37	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	272	272	272	272	272	272	272	272	272	0	140	no_update
001	3	1	基本	Mohawk Cat	ネコモヒカン		Lv 20 + 80	8,400	3	10	672	545	単体	37	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	545	545	545	545	545	545	545	545	545	0	140	no_update
002	1	0	基本	Tank Cat	タンクネコ		Lv 20 + 80	16,800	1	8	85	38	範囲	67	110	150	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	38	38	38	38	38	38	38	38	38	0	110	no_update
002	2	0	基本	Wall Cat	ネコカベ		Lv 20 + 80	16,800	1	8	85	38	範囲	67	110	150	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	38	38	38	38	38	38	38	38	38	0	110	no_update
002	3	1	基本	Eraser Cat	ゴムネコ		Lv 20 + 80	25,200	1	8	167	75	範囲	67	110	150	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	75	75	75	75	75	75	75	75	75	0	110	no_update
003	1	0	基本	Axe Cat	バトルネコ		Lv 20 + 80	8,400	3	12	1050	1167	単体	27	150	300	60	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1167	1750	1167	1167	1167	1167	1167	1167	1167	0	150	no_update
003	2	0	基本	Brave Cat	勇者ネコ		Lv 20 + 80	8,400	3	12	1050	1167	単体	27	150	300	60	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1167	1750	1167	1167	1167	1167	1167	1167	1167	0	150	no_update
003	3	1	基本	Dark Cat	暗黒ネコ		Lv 20 + 80	16,800	3	12	2100	2333	単体	27	150	300	60	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	2333	3499	2333	2333	2333	2333	2333	2333	2333	0	150	no_update
004	1	0	基本	Gross Cat	キモネコ		Lv 20 + 80	16,800	3	10	4200	992	単体	127	350	600	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	992	992	992	992	992	992	992	992	992	0	350	no_update
004	2	0	基本	Sexy Legs Cat	美脚ネコ		Lv 20 + 80	16,800	3	10	4200	1008	単体	125	350	600	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1008	1008	1008	1008	1008	1008	1008	1008	1008	0	350	no_update
004	3	1	基本	Macho Legs Cat	ムキあしネコ		Lv 20 + 80	33,600	3	10	8400	2016	単体	125	350	600	236	対 エイリアン めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1	1	1	1	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	0	0	1	2016	2016	2016	2016	2016	2016	3024	2016	2016	0	350	no_update
